,Time Stamp,energy,harmonic,ugap,dcmPitch,dcmRoll,hfmPitch,IC1
0,2023+AC0-09+AC0-11 16:15:38.589432,6,3,6634.799,1.08609,0.15548,1.0507037,128562
1,2023+AC0-09+AC0-11 16:30:55.635432,6.2,3,6805.776,1.0926,0.15548,1.0530235,186634
2,2023+AC0-09+AC0-11 16:46:10.094456,6.4,3,6975.563,1.09694,0.15548,1.0510351,253554
3,2023+AC0-09+AC0-11 17:01:23.415438,6.6,3,7146.542,1.0988,0.15507,1.0502066,319678
4,2023+AC0-09+AC0-11 17:16:37.465402,6.8,3,7321.072,1.10066,0.15507,1.0503723,386104
5,2023+AC0-09+AC0-11 17:31:51.413538,7,3,7497.565,1.10221,0.15507,1.0497095,451317
6,2023+AC0-09+AC0-11 17:41:26.527444,7.2,3,7674.363,1.1019,0.1645,1.0458984,503214
7,2023+AC0-09+AC0-11 17:51:00.843436,7.4,3,7854.163,1.10841,0.16409,1.0497095,594142
8,2023+AC0-09+AC0-11 18:00:35.388451,7.6,3,8037.165,1.11244,0.16409,1.0515322,644847
9,2023+AC0-09+AC0-11 18:10:11.024470,7.8,3,8225.771,1.11368,0.16409,1.0507037,662331
10,2023+AC0-09+AC0-11 18:19:47.159130,8,3,8416.369,1.11585,0.16368,1.050538,677646
11,2023+AC0-09+AC0-11 18:29:20.276724,8.2,3,8609.078,1.11709,0.16368,1.0515322,675036
12,2023+AC0-09+AC0-11 18:33:13.934893,8.4,3,8810.073,1.11926,0.16368,1.0530235,660173
13,2023+AC0-09+AC0-11 18:47:08.995397,8.6,3,9013.357,1.12081,0.16163,1.0172323,656045
14,2023+AC0-09+AC0-11 18:51:13.795448,8.8,5,6021.444,1.1205,0.16122,1.0147468,902561
15,2023+AC0-09+AC0-11 19:00:51.107533,9,5,6122.849,1.12019,0.16081,1.0155753,868696
16,2023+AC0-09+AC0-11 19:10:25.919388,9.2,5,6224.456,1.12391,0.16081,1.0170666,893093
17,2023+AC0-09+AC0-11 19:14:18.876380,9.4,5,6324.284,1.12422,0.1604,1.0135869,854153
18,2023+AC0-09+AC0-11 19:23:53.412400,9.6,5,6426.251,1.12391,0.1604,1.014084,821408
19,2023+AC0-09+AC0-11 19:33:24.395844,9.8,5,6528.454,1.12391,0.1604,1.0129241,783775
20,2023+AC0-09+AC0-11 19:43:00.552456,10,5,6628.754,1.13011,0.1604,1.0177294,802327
21,2023+AC0-09+AC0-11 19:52:33.666474,10.2,5,6731.254,1.12825,0.15999,1.0155753,760018
22,2023+AC0-09+AC0-11 19:56:23.935490,10.4,5,6832.063,1.13011,0.15999,1.014084,737175
23,2023+AC0-09+AC0-11 20:05:58.319386,10.6,5,6933.041,1.13135,0.15999,1.0169009,705622
24,2023+AC0-09+AC0-11 20:15:30.851503,10.8,5,7036.546,1.13352,0.15999,1.0185579,670401
25,2023+AC0-09+AC0-11 20:25:03.078809,11,5,7140.555,1.13135,0.15958,1.0152439,615029
26,2023+AC0-09+AC0-11 20:34:34.581422,11.2,5,7243.061,1.13321,0.15958,1.0167352,589225
27,2023+AC0-09+AC0-11 20:44:09.207527,11.4,5,7348.179,1.13135,0.15958,1.0147468,515052
28,2023+AC0-09+AC0-11 20:59:21.140529,11.6,5,7452.057,1.13445,0.15917,1.0167352,491619
29,2023+AC0-09+AC0-11 21:14:37.231476,11.8,5,7558.767,1.13445,0.15917,1.015741,442651
30,2023+AC0-09+AC0-11 21:29:53.241469,12,5,7664.384,1.13414,0.15917,1.0160724,394078
31,2023+AC0-09+AC0-11 21:45:09.858486,12.2,5,7773.075,1.13383,0.14892,1.0134212,342907
32,2023+AC0-09+AC0-11 22:00:30.310434,12.4,7,6046.315,1.13724,0.14933,1.0172323,440737
33,2023+AC0-09+AC0-11 22:15:46.092432,12.6,7,6118.833,1.13724,0.14933,1.0162381,395510
34,2023+AC0-09+AC0-11 22:30:55.651439,12.8,7,6189.459,1.13693,0.14933,1.0160724,364285
35,2023+AC0-09+AC0-11 22:46:05.658770,13,7,6262.04,1.13662,0.14933,1.0142497,329854
36,2023+AC0-09+AC0-11 23:01:15.640495,13.2,7,6334.859,1.14034,0.14892,1.0183922,326144
37,2023+AC0-09+AC0-11 23:18:06.288480,13.4,7,6407.685,1.14003,0.14933,1.0183922,294347
38,2023+AC0-09+AC0-11 23:34:55.273591,13.6,7,6478.674,1.14003,0.14031,1.0182265,267322
39,2023+AC0-09+AC0-11 23:50:07.331476,13.8,7,6551.61,1.14003,0.14892,1.0172323,245153
40,2023+AC0-09+AC0-12 00:05:14.878451,14,7,6622.745,1.13972,0.14892,1.0160724,218408
41,2023+AC0-09+AC0-12 00:22:00.737397,14.2,7,6695.971,1.13941,0.14154,1.0164038,191494
42,2023+AC0-09+AC0-12 00:38:46.783053,14.4,7,6769.267,1.1391,0.14523,1.0149125,171195
